Jahr;Schulgemeinde;country_g;per_g;SG;rank
2001;Limmattal;Türkei;0.06353204589980409;Limmattal;359
2001;Schwamendingen;Andere;0.11665565102445473;Schwamendingen;255
2001;Schwamendingen;Bosnien-Herzegowina;0.021150033046926635;Schwamendingen;824
2001;Schwamendingen;Italien;0.07038995373430271;Schwamendingen;337
2001;Schwamendingen;Nordmazedonien;0.024454725710508923;Schwamendingen;724
2001;Schwamendingen;Portugal;0.0356906807666887;Schwamendingen;531
2001;Schwamendingen;Schweiz;0.5446133509583608;Schwamendingen;114
2001;Schwamendingen;Serbien;0.11996034368803701;Schwamendingen;247
2001;Schwamendingen;Spanien;0.021480502313284865;Schwamendingen;807
2001;Schwamendingen;Türkei;0.04560475875743556;Schwamendingen;445
2001;Uto;Andere;0.12469377756001959;Uto;237
2001;Uto;Italien;0.03944145026947575;Uto;492
2001;Uto;Kroatien;0.021313081822635964;Uto;813
2001;Uto;Portugal;0.036256736893679566;Uto;528
2001;Uto;Schweiz;0.6256736893679569;Uto;91
2001;Uto;Serbien;0.08329250367466928;Uto;315
2001;Uto;Sri Lanka;0.036256736893679566;Uto;528
2001;Uto;Türkei;0.03307202351788339;Uto;561
2001;Waidberg;Andere;0.16088730239673638;Waidberg;184
2001;Waidberg;Italien;0.042070372259051504;Waidberg;472
2001;Waidberg;Portugal;0.023202447730749618;Waidberg;747
2001;Waidberg;Schweiz;0.690464048954615;Waidberg;61
2001;Waidberg;Serbien;0.05532891381947986;Waidberg;397
2001;Waidberg;Türkei;0.02804691483936767;Waidberg;640
2001;Zürichberg;Andere;0.1295784381478922;Zürichberg;223
2001;Zürichberg;Portugal;0.022460262612301312;Zürichberg;766
2001;Zürichberg;Schweiz;0.8113337940566689;Zürichberg;16
2001;Zürichberg;Serbien;0.036627505183137524;Zürichberg;525
2002;Glattal;Andere;0.12538667766549805;Glattal;234
2002;Glattal;Bosnien-Herzegowina;0.02536605485667148;Glattal;709
2002;Glattal;Italien;0.05382553103732728;Glattal;410
2002;Glattal;Nordmazedonien;0.02227263353268715;Glattal;774
2002;Glattal;Portugal;0.03258403794596824;Glattal;566
2002;Glattal;Schweiz;0.5673334708187255;Glattal;105
2002;Glattal;Serbien;0.11569395751701382;Glattal;259
2002;Glattal;Sri Lanka;0.021241493091359042;Glattal;822
2002;Glattal;Türkei;0.036296143534749435;Glattal;526
2002;Letzi;Andere;0.09608843537414966;Letzi;296
2002;Letzi;Bosnien-Herzegowina;0.020691609977324263;Letzi;832
2002;Letzi;Italien;0.061507936507936505;Letzi;369
2002;Letzi;Kroatien;0.027210884353741496;Letzi;661
2002;Letzi;Nordmazedonien;0.027777777777777776;Letzi;651
2002;Letzi;Portugal;0.048752834467120185;Letzi;429
2002;Letzi;Schweiz;0.5430839002267573;Letzi;116
2002;Letzi;Serbien;0.1082766439909297;Letzi;269
2002;Letzi;Spanien;0.02891156462585034;Letzi;627
2002;Letzi;Türkei;0.037698412698412696;Letzi;512
2002;Limmattal;Andere;0.1015112631879099;Limmattal;282
2002;Limmattal;Bosnien-Herzegowina;0.026803535785571715;Limmattal;675
2002;Limmattal;Italien;0.05503279155973767;Limmattal;399
2002;Limmattal;Kroatien;0.025377815796977475;Limmattal;708
2002;Limmattal;Nordmazedonien;0.05902480752780154;Limmattal;385
2002;Limmattal;Portugal;0.06786427145708583;Limmattal;347
2002;Limmattal;Schweiz;0.2754491017964072;Limmattal;131
2002;Limmattal;Serbien;0.20102651839178784;Limmattal;144
2002;Limmattal;Spanien;0.03849443969204448;Limmattal;500
2002;Limmattal;Sri Lanka;0.09096093527231251;Limmattal;303
2002;Limmattal;Türkei;0.058454519532363844;Limmattal;388
2002;Schwamendingen;Andere;0.11655844155844156;Schwamendingen;256
2002;Schwamendingen;Bosnien-Herzegowina;0.023051948051948053;Schwamendingen;752
2002;Schwamendingen;Italien;0.06428571428571428;Schwamendingen;356
2002;Schwamendingen;Nordmazedonien;0.022727272727272728;Schwamendingen;763
2002;Schwamendingen;Portugal;0.037337662337662336;Schwamendingen;516
2002;Schwamendingen;Schweiz;0.5409090909090909;Schwamendingen;119
2002;Schwamendingen;Serbien;0.1275974025974026;Schwamendingen;229
2002;Schwamendingen;Spanien;0.021753246753246754;Schwamendingen;798
2002;Schwamendingen;Türkei;0.04577922077922078;Schwamendingen;444
2002;Uto;Andere;0.1421616358325219;Uto;200
2002;Uto;Italien;0.03554040895813048;Uto;533
2002;Uto;Portugal;0.03481012658227848;Uto;543
2002;Uto;Schweiz;0.6358325219084713;Uto;88
2002;Uto;Serbien;0.08106134371957156;Uto;316
2002;Uto;Sri Lanka;0.03919182083739046;Uto;495
2002;Uto;Türkei;0.03140214216163583;Uto;586
2002;Waidberg;Andere;0.1425378693816737;Waidberg;199
2002;Waidberg;Deutschland;0.023094114725602185;Waidberg;750
2002;Waidberg;Italien;0.034765333995530175;Waidberg;544
2002;Waidberg;Portugal;0.023094114725602185;Waidberg;750
2002;Waidberg;Schweiz;0.6960516513533648;Waidberg;57
2002;Waidberg;Serbien;0.05338962006456419;Waidberg;413
2002;Waidberg;Türkei;0.027067295753662776;Waidberg;666
2002;Zürichberg;Andere;0.13406292749658003;Zürichberg;216
2002;Zürichberg;Deutschland;0.02188782489740082;Zürichberg;789
2002;Zürichberg;Schweiz;0.8101915184678523;Zürichberg;18
2002;Zürichberg;Serbien;0.0338577291381669;Zürichberg;553
2003;Glattal;Andere;0.12952419682797886;Glattal;224
2003;Glattal;Bosnien-Herzegowina;0.026636844245628306;Glattal;679
2003;Glattal;Italien;0.05266368442456283;Glattal;418
2003;Glattal;Nordmazedonien;0.022976819845465637;Glattal;757
2003;Glattal;Portugal;0.03822692151281008;Glattal;504
2003;Glattal;Schweiz;0.5587637250915006;Glattal;108
2003;Glattal;Serbien;0.11712078080520537;Glattal;253
2003;Glattal;Sri Lanka;0.022163481089873933;Glattal;782
2003;Glattal;Türkei;0.03192354615697438;Glattal;573
2003;Letzi;Andere;0.09871869539895166;Letzi;290
2003;Letzi;Bosnien-Herzegowina;0.02125800815375655;Letzi;821
2003;Letzi;Italien;0.0553290623179965;Letzi;396
2003;Letzi;Kroatien;0.0256260920209668;Letzi;700
2003;Letzi;Nordmazedonien;0.02766453115899825;Letzi;654
2003;Letzi;Portugal;0.054164239953407106;Letzi;409
2003;Letzi;Schweiz;0.5430984274898079;Letzi;115
2003;Letzi;Serbien;0.1059988351776354;Letzi;275
2003;Letzi;Spanien;0.028829353523587654;Letzi;628
2003;Letzi;Türkei;0.039312754804892255;Letzi;493
2003;Limmattal;Andere;0.10332950631458095;Limmattal;279
2003;Limmattal;Bosnien-Herzegowina;0.027841561423650976;Limmattal;650
2003;Limmattal;Italien;0.05482204362801378;Limmattal;406
2003;Limmattal;Kroatien;0.022101033295063147;Limmattal;783
2003;Limmattal;Nordmazedonien;0.055970149253731345;Limmattal;393
2003;Limmattal;Portugal;0.07032146957520091;Limmattal;338
2003;Limmattal;Schweiz;0.28788748564867966;Limmattal;130
2003;Limmattal;Serbien;0.19431687715269805;Limmattal;149
2003;Limmattal;Spanien;0.037026406429391506;Limmattal;519
2003;Limmattal;Sri Lanka;0.09414466130884042;Limmattal;299
2003;Limmattal;Türkei;0.05223880597014925;Limmattal;420
2003;Schwamendingen;Andere;0.11811524992040752;Schwamendingen;251
2003;Schwamendingen;Bosnien-Herzegowina;0.02387774594078319;Schwamendingen;734
2003;Schwamendingen;Italien;0.06176376950015919;Schwamendingen;368
2003;Schwamendingen;Nordmazedonien;0.021967526265520534;Schwamendingen;788
2003;Schwamendingen;Portugal;0.03884113339700732;Schwamendingen;499
2003;Schwamendingen;Schweiz;0.5361349888570519;Schwamendingen;120
2003;Schwamendingen;Serbien;0.13307863737663164;Schwamendingen;219
2003;Schwamendingen;Sri Lanka;0.02005730659025788;Schwamendingen;845
2003;Schwamendingen;Türkei;0.046163642152180835;Schwamendingen;440
2003;Uto;Andere;0.1403678606001936;Uto;205
2003;Uto;Italien;0.03412391093901258;Uto;549
2003;Uto;Portugal;0.03170377541142304;Uto;575
2003;Uto;Schweiz;0.6364956437560504;Uto;87
2003;Uto;Serbien;0.08397870280735721;Uto;311
2003;Uto;Sri Lanka;0.04283639883833495;Uto;466
2003;Uto;Türkei;0.03049370764762827;Uto;604
2003;Waidberg;Andere;0.11613691931540342;Waidberg;258
2003;Waidberg;Deutschland;0.02689486552567237;Waidberg;670
2003;Waidberg;Italien;0.03300733496332518;Waidberg;562
2003;Waidberg;Portugal;0.02444987775061125;Waidberg;725
2003;Waidberg;Schweiz;0.6965770171149144;Waidberg;56
2003;Waidberg;Serbien;0.0589242053789731;Waidberg;386
2003;Waidberg;Sri Lanka;0.021026894865525673;Waidberg;828
2003;Waidberg;Türkei;0.022982885085574573;Waidberg;756
2003;Zürichberg;Andere;0.11042097998619738;Zürichberg;265
2003;Zürichberg;Deutschland;0.024844720496894408;Zürichberg;718
2003;Zürichberg;Portugal;0.021739130434782608;Zürichberg;800
2003;Zürichberg;Schweiz;0.8088336783988958;Zürichberg;20
2003;Zürichberg;Serbien;0.034161490683229816;Zürichberg;548
2004;Glattal;Andere;0.12803261977573904;Glattal;227
2004;Glattal;Bosnien-Herzegowina;0.023241590214067277;Glattal;746
2004;Glattal;Italien;0.04933741080530071;Glattal;427
2004;Glattal;Nordmazedonien;0.021406727828746176;Glattal;810
2004;Glattal;Portugal;0.03955147808358817;Glattal;491
2004;Glattal;Schweiz;0.5614678899082569;Glattal;107
2004;Glattal;Serbien;0.1198776758409786;Glattal;248
2004;Glattal;Sri Lanka;0.026299694189602447;Glattal;685
2004;Glattal;Türkei;0.030784913353720692;Glattal;595
2004;Letzi;Andere;0.09976525821596244;Letzi;285
