Jahr;Schulgemeinde;Bildungsart_2;students;per;esd;acs
2004;Schwamendingen;Sekundarstufe A;276;40.3;0.5760869565217391;19
2004;Schwamendingen;Sekundarstufe B;331;48.3;0.40181268882175225;19
2004;Schwamendingen;Sekundarstufe C;78;11.4;0.23076923076923073;13
2004;Uto;Sekundarstufe A;461;52.3;0.6963123644251628;20
2004;Uto;Sekundarstufe B;319;36.2;0.445141065830721;19
2004;Uto;Sekundarstufe C;101;11.5;0.17821782178217827;11
2004;Waidberg;Sekundarstufe A;467;61.4;0.7323340471092077;20
2004;Waidberg;Sekundarstufe B;253;33.2;0.44664031620553357;19
2004;Waidberg;Sekundarstufe C;41;5.4;0.12195121951219512;11
2004;Zürichberg;Sekundarstufe A;414;80.1;0.8140096618357489;21
2004;Zürichberg;Sekundarstufe B;93;18;0.4516129032258065;16
2004;Zürichberg;Sekundarstufe C;10;1.9;0.30000000000000004;3
2005;Glattal;Sekundarstufe A;579;49.7;0.6044905008635579;19
2005;Glattal;Sekundarstufe B;451;38.7;0.39689578713968954;18
2005;Glattal;Sekundarstufe C;134;11.5;0.18656716417910446;11
2005;Letzi;Sekundarstufe A;331;45.3;0.6012084592145015;19
2005;Letzi;Sekundarstufe B;339;46.4;0.34513274336283184;19
2005;Letzi;Sekundarstufe C;60;8.2;0.09999999999999998;14
2005;Limmattal;Sekundarstufe A;302;42.4;0.29470198675496684;19
2005;Limmattal;Sekundarstufe B;411;57.6;0.12895377128953767;16
2005;Schwamendingen;Sekundarstufe A;269;39.9;0.5353159851301115;18
2005;Schwamendingen;Sekundarstufe B;326;48.3;0.36503067484662577;18
2005;Schwamendingen;Sekundarstufe C;80;11.9;0.17500000000000004;13
2005;Uto;Sekundarstufe A;478;55;0.6820083682008369;20
2005;Uto;Sekundarstufe B;291;33.5;0.436426116838488;18
2005;Uto;Sekundarstufe C;100;11.5;0.18999999999999995;11
2005;Waidberg;Sekundarstufe A;491;62.3;0.7067209775967414;21
2005;Waidberg;Sekundarstufe B;256;32.5;0.484375;19
2005;Waidberg;Sekundarstufe C;41;5.2;0.1707317073170732;11
2005;Zürichberg;Sekundarstufe A;377;76.6;0.806366047745358;19
2005;Zürichberg;Sekundarstufe B;102;20.7;0.5196078431372548;18
2005;Zürichberg;Sekundarstufe C;13;2.6;0.3076923076923077;4
2006;Glattal;Sekundarstufe A;553;46.8;0.5985533453887883;19
2006;Glattal;Sekundarstufe B;479;40.5;0.39874739039665974;18
2006;Glattal;Sekundarstufe C;150;12.7;0.18666666666666665;13
2006;Letzi;Sekundarstufe A;351;49.2;0.5783475783475783;20
2006;Letzi;Sekundarstufe B;316;44.3;0.2974683544303798;19
2006;Letzi;Sekundarstufe C;47;6.6;0.06382978723404253;12
2006;Limmattal;Sekundarstufe A;307;44.2;0.26058631921824105;19
2006;Limmattal;Sekundarstufe B;387;55.8;0.13178294573643412;16
2006;Schwamendingen;Sekundarstufe A;276;39.7;0.49275362318840576;19
2006;Schwamendingen;Sekundarstufe B;343;49.3;0.3323615160349854;19
2006;Schwamendingen;Sekundarstufe C;77;11.1;0.1558441558441559;11
2006;Uto;Sekundarstufe A;438;50.8;0.6415525114155252;19
2006;Uto;Sekundarstufe B;324;37.6;0.42592592592592593;19
2006;Uto;Sekundarstufe C;100;11.6;0.20999999999999996;12
2006;Waidberg;Sekundarstufe A;464;61.6;0.6767241379310345;21
