Jahr;Schulgemeinde;Schulart;students;per;daz;acs
2003;Zürichberg;Übergangsklassen;14;0.6;0.7857142857142857;7
2004;Glattal;Kindergarten;868;24.9;0.6347926267281107;16
2004;Glattal;Primarschule;2551;73.1;0.5354762838102705;19
2004;Glattal;Übergangsklassen;69;2;0.855072463768116;12
2004;Letzi;Kindergarten;652;26.3;0.6257668711656442;17
2004;Letzi;Primarschule;1776;71.7;0.5523648648648649;19
2004;Letzi;Übergangsklassen;49;2;0.8571428571428571;11
2004;Limmattal;Kindergarten;618;26.1;0.8009708737864077;15
2004;Limmattal;Primarschule;1685;71;0.7946587537091988;17
2004;Limmattal;Übergangsklassen;69;2.9;0.8840579710144928;12
2004;Schwamendingen;Kindergarten;595;25.5;0.7075630252100841;17
2004;Schwamendingen;Primarschule;1679;72;0.600357355568791;19
2004;Schwamendingen;Übergangsklassen;58;2.5;0.7068965517241379;12
2004;Uto;Kindergarten;777;24.8;0.4774774774774775;16
2004;Uto;Primarschule;2311;73.8;0.42276070964950235;21
2004;Uto;Übergangsklassen;44;1.4;0.7954545454545454;11
2004;Waidberg;Kindergarten;811;25.5;0.40197287299630086;18
2004;Waidberg;Primarschule;2327;73.1;0.3515255694026644;20
2004;Waidberg;Übergangsklassen;45;1.4;0.7111111111111111;10
2004;Zürichberg;Kindergarten;478;20.5;0.26778242677824265;16
2004;Zürichberg;Primarschule;1771;76;0.26256352343308864;22
2004;Zürichberg;Übergangsklassen;81;3.5;0.2962962962962963;19
2005;Glattal;Kindergarten;933;26.1;0.6130760986066452;17
2005;Glattal;Primarschule;2571;72;0.5608712563204978;20
2005;Glattal;Übergangsklassen;66;1.8;0.8636363636363636;11
2005;Letzi;Kindergarten;692;27.9;0.653179190751445;19
2005;Letzi;Primarschule;1743;70.3;0.5668387837062536;20
2005;Letzi;Übergangsklassen;44;1.8;0.8181818181818182;12
2005;Limmattal;Kindergarten;481;20.8;0.8087318087318087;15
2005;Limmattal;Primarschule;1595;68.9;0.8;18
2005;Limmattal;Übergangsklassen;240;10.4;0.8083333333333333;19
2005;Schwamendingen;Kindergarten;585;25.2;0.7418803418803419;17
2005;Schwamendingen;Primarschule;1685;72.5;0.6409495548961425;20
2005;Schwamendingen;Übergangsklassen;55;2.4;0.7454545454545455;10
2005;Uto;Kindergarten;786;25;0.4732824427480916;17
2005;Uto;Primarschule;2311;73.6;0.4370402423193423;21
2005;Uto;Übergangsklassen;45;1.4;0.7777777777777778;12
2005;Waidberg;Kindergarten;804;25.7;0.376865671641791;18
2005;Waidberg;Primarschule;2280;72.9;0.36666666666666664;21
2005;Waidberg;Übergangsklassen;42;1.3;0.7142857142857143;9
2005;Zürichberg;Kindergarten;502;21.5;0.22709163346613545;17
2005;Zürichberg;Primarschule;1762;75.4;0.2633371169125993;22
2005;Zürichberg;Übergangsklassen;73;3.1;0.2465753424657534;19
2006;Glattal;Kindergarten;976;26.9;0.6331967213114754;17
2006;Glattal;Primarschule;2594;71.4;0.5759444872783346;21
2006;Glattal;Übergangsklassen;64;1.8;0.78125;13
2006;Letzi;Kindergarten;648;26.1;0.6527777777777778;18
2006;Letzi;Primarschule;1812;72.9;0.5960264900662252;21
2006;Letzi;Übergangsklassen;27;1.1;0.7407407407407407;12
2006;Limmattal;Kindergarten;445;20.3;0.7932584269662921;16
2006;Limmattal;Primarschule;1527;69.5;0.8140144073346431;18
2006;Limmattal;Übergangsklassen;224;10.2;0.7589285714285714;17
2006;Schwamendingen;Kindergarten;487;21.6;0.8008213552361396;17
2006;Schwamendingen;Primarschule;1612;71.6;0.6929280397022333;20
2006;Schwamendingen;Übergangsklassen;151;6.7;0.5231788079470199;17
2006;Uto;Kindergarten;746;23.8;0.46112600536193027;17
2006;Uto;Primarschule;2345;74.8;0.4439232409381663;21
2006;Uto;Übergangsklassen;45;1.4;0.7555555555555555;12
2006;Waidberg;Kindergarten;811;25.8;0.3711467324290999;18
2006;Waidberg;Primarschule;2292;73;0.35165794066317624;21
2006;Waidberg;Übergangsklassen;38;1.2;0.7631578947368421;10
2006;Zürichberg;Kindergarten;463;20.5;0.24406047516198703;16
2006;Zürichberg;Primarschule;1716;76;0.24708624708624707;22
2006;Zürichberg;Übergangsklassen;78;3.5;0.23076923076923078;21
2007;Glattal;Kindergarten;1040;27.4;0.6317307692307692;18
2007;Glattal;Primarschule;2708;71.3;0.5834564254062038;22
2007;Glattal;Übergangsklassen;50;1.3;0.84;13
2007;Letzi;Kindergarten;666;26.4;0.6606606606606606;19
2007;Letzi;Primarschule;1841;72.9;0.6105377512221619;21
2007;Letzi;Übergangsklassen;18;0.7;0.7777777777777778;9
2007;Limmattal;Kindergarten;451;20.6;0.7960088691796009;18
2007;Limmattal;Primarschule;1536;70;0.8125;19
2007;Limmattal;Übergangsklassen;207;9.4;0.6714975845410628;20
2007;Schwamendingen;Kindergarten;489;21.3;0.8016359918200409;17
2007;Schwamendingen;Primarschule;1634;71.3;0.7282741738066095;20
2007;Schwamendingen;Übergangsklassen;169;7.4;0.5325443786982249;20
2007;Uto;Kindergarten;766;24.3;0.4360313315926893;18
2007;Uto;Primarschule;2354;74.5;0.461767204757859;21
2007;Uto;Übergangsklassen;38;1.2;0.7368421052631579;10
2007;Waidberg;Kindergarten;810;25.4;0.35185185185185186;19
2007;Waidberg;Primarschule;2350;73.6;0.36;22
2007;Waidberg;Übergangsklassen;32;1;0.71875;8
2007;Zürichberg;Kindergarten;468;20.6;0.27350427350427353;18
2007;Zürichberg;Primarschule;1703;75.1;0.24192601291837934;21
2007;Zürichberg;Übergangsklassen;96;4.2;0.25;21
2008;Glattal;Kindergarten;1043;26.9;0.6059443911792906;17
2008;Glattal;Primarschule;2797;72.1;0.6020736503396497;22
2008;Glattal;Übergangsklassen;41;1.1;0.9024390243902439;11
2008;Letzi;Kindergarten;700;27.5;0.6285714285714286;19
2008;Letzi;Primarschule;1823;71.7;0.6193088315962699;20
2008;Letzi;Übergangsklassen;18;0.7;0.7777777777777778;9
2008;Limmattal;Kindergarten;472;21.3;0.7838983050847458;20
2008;Limmattal;Primarschule;1551;70;0.807865892972276;19
2008;Limmattal;Übergangsklassen;193;8.7;0.5958549222797928;22
2008;Schwamendingen;Kindergarten;530;22.8;0.7867924528301887;18
2008;Schwamendingen;Primarschule;1656;71.1;0.7330917874396136;20
2008;Schwamendingen;Übergangsklassen;142;6.1;0.5;19
2008;Uto;Kindergarten;753;23.8;0.43691899070385126;18
2008;Uto;Primarschule;2382;75.2;0.4617968094038623;21
2008;Uto;Übergangsklassen;31;1;0.7419354838709677;10
2008;Waidberg;Kindergarten;826;25.9;0.30871670702179177;19
2008;Waidberg;Primarschule;2335;73.1;0.3730192719486081;22
2008;Waidberg;Übergangsklassen;34;1.1;0.7647058823529411;10
2008;Zürichberg;Kindergarten;506;22.1;0.26877470355731226;19
2008;Zürichberg;Primarschule;1676;73.3;0.24880668257756564;21
2008;Zürichberg;Übergangsklassen;104;4.5;0.33653846153846156;23
2009;Glattal;Kindergarten;1052;26.2;0.5826996197718631;19
2009;Glattal;Primarschule;2967;73.8;0.6147623862487361;21
2009;Letzi;Kindergarten;705;27.1;0.5801418439716312;19
2009;Letzi;Primarschule;1896;72.9;0.6445147679324894;21
2009;Limmattal;Kindergarten;494;21.8;0.757085020242915;23
