Jahr;Schulgemeinde;Land;country_n;per_n;rank;diff_c
2000;Schwamendingen;Schweiz;1613;0.5425496131853347;123;22
2000;Schwamendingen;Serbien;357;0.12008072653884964;160;22
2000;Schwamendingen;Slowenien;1;3.363605785401951e-4;7272;22
2000;Schwamendingen;Spanien;68;0.022872519340733265;790;22
2000;Schwamendingen;Staat unbekannt;3;0.0010090817356205853;5028;22
2000;Schwamendingen;Süd-/Osteuropa;31;0.010427177934746047;1308;22
2000;Schwamendingen;Türkei;163;0.0548267743020518;351;22
2000;Uto;Afrika;58;0.014167073766487542;896;21
2000;Uto;Asien;215;0.052515876893014166;257;21
2000;Uto;Australien;5;0.0012212994626282364;3919;21
2000;Uto;Bosnien-Herzegowina;45;0.010991695163654128;1050;21
2000;Uto;Deutschland;41;0.010014655593551539;1112;21
2000;Uto;Frankreich;8;0.0019540791402051783;2923;21
2000;Uto;Griechenland;16;0.0039081582804103565;1886;21
2000;Uto;Italien;171;0.041768441621885685;343;21
2000;Uto;Kroatien;84;0.02051783097215437;644;21
2000;Uto;Mittel- und Südamerika;51;0.012457254518808011;971;21
2000;Uto;Nord-/Westeuropa;16;0.0039081582804103565;1886;21
2000;Uto;Nordamerika;6;0.0014655593551538837;3495;21
2000;Uto;Nordmazedonien;71;0.017342452369320957;754;21
2000;Uto;Österreich;16;0.0039081582804103565;1886;21
2000;Uto;Portugal;150;0.03663898387884709;381;21
2000;Uto;Schweiz;2522;0.6160234489496824;70;21
2000;Uto;Serbien;357;0.08720078163165608;160;21
2000;Uto;Spanien;83;0.020273571079628724;652;21
2000;Uto;Staat unbekannt;6;0.0014655593551538837;3495;21
2000;Uto;Süd-/Osteuropa;27;0.006595017098192477;1412;21
2000;Uto;Türkei;146;0.0356619443087445;386;21
2000;Waidberg;Afrika;74;0.01883430898447442;721;23
2000;Waidberg;Asien;133;0.033850852634258084;421;23
2000;Waidberg;Australien;1;2.5451768897938407e-4;7272;23
