Jahr;Schulgemeinde;Schulart;students;per;esd;acs
2003;Zürichberg;Übergangsklassen;14;0.6;0.2142857142857143;7
2004;Glattal;Kindergarten;868;24.9;0.36520737327188935;16
2004;Glattal;Primarschule;2551;73.1;0.46452371618972954;19
2004;Glattal;Übergangsklassen;69;2;0.14492753623188404;12
2004;Letzi;Kindergarten;652;26.3;0.3742331288343558;17
2004;Letzi;Primarschule;1776;71.7;0.4476351351351351;19
2004;Letzi;Übergangsklassen;49;2;0.1428571428571429;11
2004;Limmattal;Kindergarten;618;26.1;0.19902912621359226;15
2004;Limmattal;Primarschule;1685;71;0.2053412462908012;17
2004;Limmattal;Übergangsklassen;69;2.9;0.1159420289855072;12
2004;Schwamendingen;Kindergarten;595;25.5;0.2924369747899159;17
2004;Schwamendingen;Primarschule;1679;72;0.399642644431209;19
2004;Schwamendingen;Übergangsklassen;58;2.5;0.2931034482758621;12
2004;Uto;Kindergarten;777;24.8;0.5225225225225225;16
2004;Uto;Primarschule;2311;73.8;0.5772392903504977;21
2004;Uto;Übergangsklassen;44;1.4;0.20454545454545459;11
2004;Waidberg;Kindergarten;811;25.5;0.5980271270036992;18
2004;Waidberg;Primarschule;2327;73.1;0.6484744305973356;20
2004;Waidberg;Übergangsklassen;45;1.4;0.28888888888888886;10
2004;Zürichberg;Kindergarten;478;20.5;0.7322175732217573;16
2004;Zürichberg;Primarschule;1771;76;0.7374364765669114;22
2004;Zürichberg;Übergangsklassen;81;3.5;0.7037037037037037;19
2005;Glattal;Kindergarten;933;26.1;0.38692390139335475;17
2005;Glattal;Primarschule;2571;72;0.43912874367950216;20
2005;Glattal;Übergangsklassen;66;1.8;0.13636363636363635;11
2005;Letzi;Kindergarten;692;27.9;0.34682080924855496;19
2005;Letzi;Primarschule;1743;70.3;0.4331612162937464;20
2005;Letzi;Übergangsklassen;44;1.8;0.18181818181818177;12
2005;Limmattal;Kindergarten;481;20.8;0.19126819126819128;15
2005;Limmattal;Primarschule;1595;68.9;0.19999999999999996;18
2005;Limmattal;Übergangsklassen;240;10.4;0.19166666666666665;19
2005;Schwamendingen;Kindergarten;585;25.2;0.2581196581196581;17
2005;Schwamendingen;Primarschule;1685;72.5;0.35905044510385753;20
2005;Schwamendingen;Übergangsklassen;55;2.4;0.2545454545454545;10
2005;Uto;Kindergarten;786;25;0.5267175572519084;17
2005;Uto;Primarschule;2311;73.6;0.5629597576806578;21
2005;Uto;Übergangsklassen;45;1.4;0.2222222222222222;12
2005;Waidberg;Kindergarten;804;25.7;0.6231343283582089;18
2005;Waidberg;Primarschule;2280;72.9;0.6333333333333333;21
2005;Waidberg;Übergangsklassen;42;1.3;0.2857142857142857;9
2005;Zürichberg;Kindergarten;502;21.5;0.7729083665338645;17
2005;Zürichberg;Primarschule;1762;75.4;0.7366628830874007;22
2005;Zürichberg;Übergangsklassen;73;3.1;0.7534246575342466;19
2006;Glattal;Kindergarten;976;26.9;0.3668032786885246;17
2006;Glattal;Primarschule;2594;71.4;0.4240555127216654;21
2006;Glattal;Übergangsklassen;64;1.8;0.21875;13
2006;Letzi;Kindergarten;648;26.1;0.3472222222222222;18
2006;Letzi;Primarschule;1812;72.9;0.4039735099337748;21
2006;Letzi;Übergangsklassen;27;1.1;0.2592592592592593;12
2006;Limmattal;Kindergarten;445;20.3;0.20674157303370788;16
2006;Limmattal;Primarschule;1527;69.5;0.18598559266535686;18
2006;Limmattal;Übergangsklassen;224;10.2;0.2410714285714286;17
2006;Schwamendingen;Kindergarten;487;21.6;0.19917864476386038;17
2006;Schwamendingen;Primarschule;1612;71.6;0.30707196029776673;20
2006;Schwamendingen;Übergangsklassen;151;6.7;0.4768211920529801;17
2006;Uto;Kindergarten;746;23.8;0.5388739946380697;17
2006;Uto;Primarschule;2345;74.8;0.5560767590618336;21
